Name,Next Deworming Date,Dewormer,Weight (lbs),Weight (kg),Notes,Dosage (g/day),Total Dosage (g)
AMIRA,02/13/26,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
AMIRA,06/18/25,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
AMIRA,08/17/25,PYRANTEL PAMOATE,400,181.4368,Single Dose (6.6 mg/kg),1.20,1.20
AMIRA,10/16/25,IVERMECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
AMIRA,12/15/25,MOXIDECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
ARYA,02/13/26,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
ARYA,06/18/25,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
ARYA,08/17/25,PYRANTEL PAMOATE,400,181.4368,Single Dose (6.6 mg/kg),1.20,1.20
ARYA,10/16/25,IVERMECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
ARYA,12/15/25,MOXIDECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
JACK JACK,02/13/26,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
JACK JACK,06/18/25,FENBENDAZOLE,275,124.7378,5-day Power Pack (5 mg/kg/day),0.62,3.12
JACK JACK,08/17/25,PYRANTEL PAMOATE,150,68.0388,Single Dose (6.6 mg/kg),0.45,0.45
JACK JACK,10/16/25,IVERMECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
JACK JACK,12/15/25,MOXIDECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
OLIVER,02/13/26,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
OLIVER,06/18/25,FENBENDAZOLE,300,136.0776,5-day Power Pack (5 mg/kg/day),0.68,3.40
OLIVER,08/17/25,PYRANTEL PAMOATE,150,68.0388,Single Dose (6.6 mg/kg),0.45,0.45
OLIVER,10/16/25,IVERMECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
OLIVER,12/15/25,MOXIDECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
OLIVIA,02/13/26,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
OLIVIA,06/18/25,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
OLIVIA,08/17/25,PYRANTEL PAMOATE,400,181.4368,Single Dose (6.6 mg/kg),1.20,1.20
OLIVIA,10/16/25,IVERMECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
OLIVIA,12/15/25,MOXIDECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
SAPHIRA,02/13/26,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
SAPHIRA,06/18/25,FENBENDAZOLE,225,102.0582,5-day Power Pack (5 mg/kg/day),0.51,2.55
SAPHIRA,08/17/25,PYRANTEL PAMOATE,150,68.0388,Single Dose (6.6 mg/kg),0.45,0.45
SAPHIRA,10/16/25,IVERMECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
SAPHIRA,12/15/25,MOXIDECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
ZARA,02/13/26,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
ZARA,06/18/25,FENBENDAZOLE,175,79.3786,5-day Power Pack (5 mg/kg/day),0.40,1.98
ZARA,08/17/25,PYRANTEL PAMOATE,150,68.0388,Single Dose (6.6 mg/kg),0.45,0.45
ZARA,10/16/25,IVERMECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
ZARA,12/15/25,MOXIDECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
