Date,Donkey Name,Weight (lbs),Dewormer/Test,Dosage,Notes
6/23/25,ANGEL,400,Fenbendazole,907.2 mg/day,Day 1 of 5
6/16/25,FINN,200,Fenbendazole,453.6 mg/day,Day 1 of 5
6/16/25,HALO,200,Fenbendazole,453.6 mg/day,Day 1 of 5
6/16/25,DAWN,400,Fenbendazole,907.2 mg/day,Day 1 of 5
6/23/25,LEILANI,200,Fenbendazole,453.6 mg/day,Day 1 of 5
6/16/25,MERIDA,400,Fenbendazole,907.2 mg/day,Day 1 of 5
6/16/25,DANNY BOY,200,Fenbendazole,453.6 mg/day,Day 1 of 5
6/16/25,OPHELIA,400,Fenbendazole,907.2 mg/day,Day 1 of 5
6/16/25,ASHER,200,Fenbendazole,453.6 mg/day,Day 1 of 5
6/16/25,SARAPHINA,400,Fenbendazole,907.2 mg/day,Day 1 of 5
6/16/25,ELENORA,400,Fenbendazole,907.2 mg/day,Day 1 of 5
6/30/25,ELENORA,400,Ivermectin,36.29 mg,Single dose
6/30/25,LEILANI,200,Ivermectin,18.14 mg,Single dose
6/30/25,HALO,200,Ivermectin,18.14 mg,Single dose
6/30/25,OPHELIA,400,Ivermectin,36.29 mg,Single dose
6/30/25,SARAPHINA,400,Ivermectin,36.29 mg,Single dose
6/30/25,MERIDA,400,Ivermectin,36.29 mg,Single dose
6/30/25,FINN,200,Ivermectin,18.14 mg,Single dose
6/30/25,ANGEL,400,Ivermectin,36.29 mg,Single dose
6/30/25,ASHER,200,Ivermectin,18.14 mg,Single dose
6/30/25,DAWN,400,Ivermectin,36.29 mg,Single dose
6/30/25,DANNY BOY,200,Ivermectin,18.14 mg,Single dose
8/11/25,ELENORA,400,Fecal Egg Count,N/A,Submit sample
8/11/25,ANGEL,400,Fecal Egg Count,N/A,Submit sample
8/11/25,OPHELIA,400,Fecal Egg Count,N/A,Submit sample
8/11/25,MERIDA,400,Fecal Egg Count,N/A,Submit sample
8/11/25,ASHER,200,Fecal Egg Count,N/A,Submit sample
8/11/25,DANNY BOY,200,Fecal Egg Count,N/A,Submit sample
8/11/25,LEILANI,200,Fecal Egg Count,N/A,Submit sample
8/11/25,HALO,200,Fecal Egg Count,N/A,Submit sample
8/11/25,FINN,200,Fecal Egg Count,N/A,Submit sample
8/11/25,SARAPHINA,400,Fecal Egg Count,N/A,Submit sample
8/11/25,DAWN,400,Fecal Egg Count,N/A,Submit sample
9/8/25,DAWN,400,Moxidectin or Pyrantel,72.57 mg OR 1197.5 mg,Choose one (single dose)
9/8/25,LEILANI,200,Moxidectin or Pyrantel,36.29 mg OR 598.7 mg,Choose one (single dose)
9/8/25,ASHER,200,Moxidectin or Pyrantel,36.29 mg OR 598.7 mg,Choose one (single dose)
9/8/25,DANNY BOY,200,Moxidectin or Pyrantel,36.29 mg OR 598.7 mg,Choose one (single dose)
9/8/25,FINN,200,Moxidectin or Pyrantel,36.29 mg OR 598.7 mg,Choose one (single dose)
9/8/25,MERIDA,400,Moxidectin or Pyrantel,72.57 mg OR 1197.5 mg,Choose one (single dose)
9/8/25,ANGEL,400,Moxidectin or Pyrantel,72.57 mg OR 1197.5 mg,Choose one (single dose)
9/8/25,OPHELIA,400,Moxidectin or Pyrantel,72.57 mg OR 1197.5 mg,Choose one (single dose)
9/8/25,ELENORA,400,Moxidectin or Pyrantel,72.57 mg OR 1197.5 mg,Choose one (single dose)
9/8/25,HALO,200,Moxidectin or Pyrantel,36.29 mg OR 598.7 mg,Choose one (single dose)
9/8/25,SARAPHINA,400,Moxidectin or Pyrantel,72.57 mg OR 1197.5 mg,Choose one (single dose)
