Name,Next Deworming Date,Dewormer,Weight (lbs),Weight (kg),Notes,Dosage (g/day),Total Dosage (g)
ENZO,02/13/26,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
ENZO,06/18/25,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
ENZO,08/17/25,PYRANTEL PAMOATE,150,68.0388,Single Dose (6.6 mg/kg),0.45,0.45
ENZO,10/16/25,MOXIDECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
ENZO,12/15/25,IVERMECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
EVEREST,2/13/26,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
EVEREST,06/18/25,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
EVEREST,08/17/25,PYRANTEL PAMOATE,150,68.0388,Single Dose (6.6 mg/kg),0.45,0.45
EVEREST,10/16/25,MOXIDECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
EVEREST,12/15/25,IVERMECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
FARRAH,2/13/26,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
FARRAH,6/18/25,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
FARRAH,08/17/25,PYRANTEL PAMOATE,400,181.4368,Single Dose (6.6 mg/kg),1.20,1.20
FARRAH,10/16/25,MOXIDECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
FARRAH,12/15/25,IVERMECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
HUCK,02/13/26,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
HUCK,6/18/25,FENBENDAZOLE,225,102.0582,5-day Power Pack (5 mg/kg/day),0.51,2.55
HUCK,8/17/25,PYRANTEL PAMOATE,150,68.0388,Single Dose (6.6 mg/kg),0.45,0.45
HUCK,10/16/25,MOXIDECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
HUCK,12/15/25,IVERMECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
ISABELLA (IZZY),02/13/26,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
ISABELLA (IZZY),06/18/25,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
ISABELLA (IZZY),08/17/25,PYRANTEL PAMOATE,400,181.4368,Single Dose (6.6 mg/kg),1.20,1.20
ISABELLA (IZZY),10/16/25,MOXIDECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
ISABELLA (IZZY),12/15/25,IVERMECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
KAI,02/13/26,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
KAI,06/18/25,FENBENDAZOLE,200,90.7184,5-day Power Pack (5 mg/kg/day),0.45,2.27
KAI,08/17/25,PYRANTEL PAMOATE,150,68.0388,Single Dose (6.6 mg/kg),0.45,0.45
KAI,10/16/25,MOXIDECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
KAI,12/15/25,IVERMECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
KAI-YA,02/13/26,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
KAI-YA,06/18/25,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
KAI-YA,08/17/25,PYRANTEL PAMOATE,400,181.4368,Single Dose (6.6 mg/kg),1.20,1.20
KAI-YA,10/16/25,MOXIDECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
KAI-YA,12/15/25,IVERMECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
LEIALOHA,2/13/26,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
LEIALOHA,06/18/25,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
LEIALOHA,08/17/25,PYRANTEL PAMOATE,400,181.4368,Single Dose (6.6 mg/kg),1.20,1.20
LEIALOHA,10/16/25,MOXIDECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
LEIALOHA,12/15/25,IVERMECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
ROSIE,2/13/26,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
ROSIE,6/18/25,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
ROSIE,08/17/25,PYRANTEL PAMOATE,400,181.4368,Single Dose (6.6 mg/kg),1.20,1.20
ROSIE,10/16/25,MOXIDECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
ROSIE,12/15/25,IVERMECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
STELLA,02/13/26,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
STELLA,6/18/25,FENBENDAZOLE,400,181.4368,5-day Power Pack (5 mg/kg/day),0.91,4.54
STELLA,8/17/25,PYRANTEL PAMOATE,400,181.4368,Single Dose (6.6 mg/kg),1.20,1.20
STELLA,10/16/25,MOXIDECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
STELLA,12/15/25,IVERMECTIN,400,181.4368,Single Dose (0.2 mg/kg),0.04,0.04
TEO,02/13/26,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
TEO,06/18/25,FENBENDAZOLE,150,68.0388,5-day Power Pack (5 mg/kg/day),0.34,1.70
TEO,8/17/25,PYRANTEL PAMOATE,150,68.0388,Single Dose (6.6 mg/kg),0.45,0.45
TEO,10/16/25,MOXIDECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
TEO,12/15/25,IVERMECTIN,150,68.0388,Single Dose (0.2 mg/kg),0.01,0.01
